"","Prevotella","Blautia","Agathobacter","Faecalibacterium","Bacteroides","Fusicatenibacter","Subdoligranulum","Ruminococcus","Bifidobacterium","Anaerostipes","Dorea","Akkermansia","Roseburia","Lachnospiraceae_ND3007_group","Christensenellaceae_R-7_group","Streptococcus","Collinsella","Lachnospiraceae(Family)","UCG-002","Coprococcus","Lachnospira","Romboutsia","Lachnospiraceae_NK4A136_group","Erysipelotrichaceae_UCG-003","Alistipes","Parabacteroides","Intestinibacter","CAG-56","Ruminococcaceae(Family)","Lachnoclostridium","Clostridium_sensu_stricto_1","Monoglobus","UCG-005","NK4A214_group","Haemophilus","Lachnospiraceae_UCG-004","Butyricicoccus","Incertae_Sedis","UCG-003","Lachnospiraceae_UCG-001","Lachnospiraceae_FCS020_group","Oscillibacter","Eggerthellaceae(Family)","Odoribacter","Oscillospiraceae(Family)","Marvinbryantia","GCA-900066575","Senegalimassilia","Colidextribacter","UBA1819","Firmicutes(Phylum)"
"Prevotella",1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.33229266422256293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.36662525054727846,0,0,0,0,0,0,0,0,0
"Blautia",0,1,0.9011738339899719,0.9274826433886421,0.8356765668000425,0,0,0,0,0.8388102325205063,0.9542283946644475,0,0,0,-0.3647337293153765,0,0,0.969366498172528,0.7451454743986407,0.9438125944278861,0.9034776732258543,0,0.7889465120608865,-0.5807674943937225,0.6764089695513095,0,0,0,0,0.9278071591836374,0,0,0.7182432849725574,0,-0.389593699717418,0,0,0,-0.5794782671254675,0,0,0.517145011278236,0,0,0.5224078103022304,0,-0.34796688106291235,0,0,0,0
"Agathobacter",0,0.9011738339899718,1,0.9289933155484928,0.7630415451766639,-0.35987129794291073,0,0,0,0.7349999239916843,0.9103180692519456,0,0,0,-0.40315334995645197,0,0,0.9109400257123376,0.7653108937827928,0.9306502355577695,0.8411866867053458,0,0.7396830655626401,-0.5550847995819419,0.6259853426222831,0,0,0,0,0.8707165407874262,0,0,0.6248526590100212,0,0,0,0,0,-0.535918822607993,0,-0.38362311088751655,0,0,0,0.4928058859903665,0,0,0,0,0,0
"Faecalibacterium",0,0.9274826433886421,0.9289933155484928,1,0.8128556307755156,0,0,0,0,0.764593490212276,0.9054228363945503,0,0,0,0,0,0,0.9361243133416414,0.7386089680999093,0.9262620060327086,0.8995685560565885,0,0.7903333520931598,-0.5762512661627672,0.6807900231595857,0,0,0,0,0.8910400990524325,0,0,0.6174522502200581,0,0,0,0,0,-0.5774906620942832,0,0,0.4418510828250609,0,0,0.46919168052602345,0,0,0,0,0,0
"Bacteroides",0,0.8356765668000427,0.7630415451766639,0.8128556307755157,1,0,0,0,0,0.7138682900844808,0.7737812424033579,0,0,0,0,0,0,0.8387679348721606,0.5968254409557582,0.8051956507420296,0.8609619644960796,0,0.7122584144829486,-0.5808230642178607,0.803545617213365,0,0,-0.45399643952991403,0,0.7988670549553044,0,0,0.5943381410362523,0,0,0,0,0,-0.5642826349570285,0,0,0.5378948608320403,0,0,0.5408176277309957,-0.44046638214560113,0,0,0,0,0
"Fusicatenibacter",0,0,-0.3598712979429108,0,0,1,0,0.6036762809413004,0,0,-0.38040626983372555,0,0,-0.38839942003633743,0.9210319404497208,0,0,0,-0.6248714251508862,0,0,0,0,0,0,0,0,0,0,0,0,0.4339026701269579,-0.6143117434993862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Subdoligranulum",0,0,0,0,0,0,1,0,0,0,0,0,0.6813274781928409,0.9773378134509273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ruminococcus",0,0,0,0,0,0.6036762809413003,0,1,0,0,0,0,0,0,0.6595143580924893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bifidobacterium",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42519467309003434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anaerostipes",0,0.8388102325205063,0.7349999239916843,0.7645934902122757,0.7138682900844807,0,0,0,0,1,0.7693169003772975,0,0,0,0,0,-0.3615074188631549,0.8147514224355947,0.45267437985901043,0.7450068456808905,0.8232268090982431,0,0.6761392675038913,-0.4385331033371744,0.5312751126719006,0,0,0,0,0.8115641182153249,0,0,0.5108250055813166,0,-0.3534181336756941,0,0,0,-0.5924231874494762,0,0,0,0,0,0,0,-0.4514130111322716,0,0,0,0
